achuqcha|s.(<i>bot</i>)|caigua; pepino de comer; variedad de calabaza (<i>cucurbitácea</i>); planta de la familia de las cucurbitáceas de fruto alimenticio; achogcha; especie de planta de la selva (<i>uso principal: alimento</i>)
achura|s.(<i>mat</i>)|cuota
achuray|v.tr.|impartir
achuy|v.tr.|llevar entre los dientes; llevar algo con la boca
achwatakuy|v.intr.|revolcarse
achhiq ñiy|v.dic.|estornudar; decir achig
achhiy|s.|estornudo
achhiy|v.intr.|estornudar; decir achig
achhumuy|v.mov.|acercarse (<i>en dirección del hablante</i>)
achhuray|v.mov.|alejarse; partir
achhuy|v.mov.|acercarse
achhuykuy|v.mov.|acercarse
achhuyuy|v.mov.|acercarse; aproximarse
adisir|expr.(<i>esp</i>)|ha de ser; de todas maneras
Adiyús|expr.(<i>esp</i>)|¡Adiós!
admirasqa kay|v.intr.(<i>esp</i>)|estar sorprendido
adrí|adv.m.(<i>esp</i>)|adrede; con intención; deliberadamente; intencionalmente; de propósito
adubi|s.(<i>esp</i>)|adobe
afanakuy|v.intr.(<i>esp</i>)|afanarse
afaniswan|adj.(<i>p.esp</i>)|afligido; preocupado; afanado
afilay|v.tr.(<i>esp</i>)|afilar
aflihiy|v.tr.(<i>esp</i>)|afligir
agradisiy|v.tr.(<i>esp</i>)|agradecer
agustu|s.(<i>mes</i>)(<i>esp</i>)|agosto
aha|adj.|difícil
Ahá!|interj.|¡Ah; ya!; con que así
ahachiy|v.tr.|infectar una herida; hacer infectar; inflamar
Ahahay!|interj.|¡Qué cómico!; ¡Qué risa!
ahahay|v.dic.|ah ah - reír -; reír sin control; carcajearse. No es bueno reírse así
ahalla|adv.m.|muy rápido
ahallay|v.intr.|apurarse; apresurarse
ahan|interj.|"con que así; ya me enteré; [expresión irónica con que se trata de chantajear, pero también se usa en bromas]"
ahasqa|p.p.|infectado
ahay|v.intr.|infectarse; inflamarse
ahay|v.tr.|resondrar; molestar; reprender; aconsejar bien
ahayachiy|v.tr.|cansar; fastidiar; ponerlo difícil
ahayay|v.intr.|cansarse de algo o alguien; sentir lo difícil
ahi!|interj.|"¡aaji!; [desafío, alegría, muy común entre los borrachos]"
ahina|adv.m.|así; consiguiente
ahina|s.|ejemplo
ahinhu|s.(<i>bot</i>)(<i>esp</i>)|ajenjo
ahitay|v.intr.|empacharse
ahiy|v.dic.|"emitir el ""¡aaji!"""
ahumpay|v.intr.|encogerse de frío o dolor
ahus|s.(<i>bot</i>)(<i>esp</i>)|ajo
ahus chiru|s.(<i>bot</i>)(<i>p.esp</i>)|ajos chiro; especie de planta medicinal de la selva
ahus p'anqa|s.(<i>bot</i>)(<i>p.esp</i>)|"aju panga; ajus huasca; especie de planta medicinal de la selva cuatoriana, planta trepadora de olor fuerte de ajo, con sus hojas y orteza se curan el reumatismo y la artritis"
ahus qiru; ahus k'aspi|s.(<i>bot</i>)(<i>p.esp</i>)|"laurel blanco; pardillo; especie de planta medicinal, usos principales: medicina de chamanes para protección y fuerza"
ahus sach'a|s.(<i>bot</i>)(<i>p.esp</i>)|"ajo sacha; vid de ajo; árbol de ajo; especie de árbol de la selva con cuyas hojas y corteza se curan el reumatismo y la artritis; especie de rbusto regional cuyas hojas y corteza tienen un marcadisimo olor a ajo. Es empleada en condimentos. Gran calmante de dolores y en emplastos, emedio contra enfermedades renales"
ahus waska|s.(<i>bot</i>)(<i>p.esp</i>)|"ajus huasca; especie de planta medicinal de la selva ecuatoriana, planta repadora de olor fuerte de ajo, con sus hojas y corteza se curan el eumatismo y la artritis"
ahuy|v.tr.|mezclar; combinar
ahwilay|v.tr.(<i>esp</i>)|afilar
aka|s.|excremento; excrementos; guano; estiércol; caga; mierda; caca; pasta fecal; escoria; heces
akachakuy|v.intr.|hacer calor
akachaq|adj.|caliente; caluroso
akachay|s.|calor
akachay|v.tr.|quemar; arder
aka hina sinqayuq|s.p.(<i>k</i>)|nariz de caca
Akakalláw!|interj.|¡Qué lástima!; ¡Qué pena!; ¡Pobrecito!
Akakaw!|interj.|¡Qué dolor!; ¡Qué caliente!; [ante la sensación de algo punzante]
akakaw!|interj.(<i>d2</i>)|[risa femenina descontrolada]
akakllu|s.(<i>zoo</i>)|pájaro carpintero; una especie de perdiz; acaca; cargacha; Pájaro de la puna ue ante la presencia de extraños hace mucha bulla. A las mujeres hifladas (<i>que se ríen con cualquiera</i>) se las compara con la acaca
akakuy|v.intr.|zurrarse
aka k'ichki|s.(<i>med</i>)|estreñimiento
aka k'uchu|s.|rincón para cagar; letrina tras la casa
akanawasi|s.|letrina; baño
akanayaq runa|expr.(<i>k</i>)|hombre gruñón; renegón
akankaw|s.(<i>zoo</i>)(<i>amz</i>)|acangau; caracara negra; especie de halcón; especie de ave
akapa|adj.|menudo; pequeño
akapakuy|v.intr.|enmohecerse
akapana|s.|huracán
akapana|s.|celaje; coloración del cielo en el alba o en el ocaso
akaraqay|s.|corral; majada; corral del ganado
aka siki|s.|culo de mierda; cagador
akasu|conj.(<i>esp</i>)|acaso
akatanqa|s.(<i>zoo</i>)|escarabajo (<i>de estiércol</i>); escarabajo (<i>lit. que empuja excremento</i>)
akatay|v.mov.|acudir por algo; recurrir; ir sin ser invitado
akatuwawa|s.(<i>bot</i>)(<i>amz</i>)|acatuaua; especie de planta medicinal de la selva
aka wara|s.|pañal; pañales
akay|s.|deposición; deyección
akay|v.tr.|defecar; cagar; evacuar las materias fecales
akayta mikuy supiyta pitay|expr.(<i>k</i>)|¡come mi caca y fuma mi pedo!
aki|s.|suegra con relación a su yerno
akila|adj.|rápido
akilla|s.|vaso de metal; vaso de oro o plata
aklla|s.(<i>his</i>)|joven escogida de la casa real; virgen para servicio religioso; virgen del sol
akllachiy|v.tr.|hacer escoger
akllakuy|v.tr.|elegir
akllamuy|v.tr.|ir a escoger
akllanakuy|s.(<i>neo</i>)|elecciones
akllapayay|v.tr.|escoger repetidamente
akllapuy|v.tr.|escogérselo
akllasqa|p.p.p.|elegido; escogido; selecto; seleccionado
aklla wasi|s.(<i>his</i>)|convento de mujeres vírgenes; gineceo incaico; casa de las escogidas
akllay|s.|"elección, lotería"
akllay|v.tr.|elegir; seleccionar; escoger; clasificar; escoger; separar
akllay papa|s.|papa harinosa; papa selecta
akllaypaq|adj.|elegible
akna|s.|acción; ejecución; efecto
aknachay|v.tr.|efectuar; ejecutar
akñichiy|v.tr.|hacer eructar a un niño
akñiy|v.dic.|"eructar; decir ""ac"""
aksay|adj.|malo; cruel; envidioso
aksu|s.(<i>tex</i>)|bata; vestido; mantón; capa; prenda de vestir de la mujer; saya; acsu (<i>saya de las mujeres indígenas</i>)
aksullichiy|v.tr.|vestir (<i>a alguien</i>); hacer vestir
aksullikuy|v.tr.|vestirse la saya; vestirse
akshu|s.(<i>bot</i>)|papa; patata
akulli|s.|porción de coca que se mastica
akulliy|v.intr.|masticar coca
akulliy hura|s.|aproximadamente las diez de la mañana; tiempo de pausa del trabajo en la mañana para masticar coca
akumpañay|v.tr.(<i>esp</i>)|acompañar
akuna|adj.(<i>neo</i>)|privado
akupana|s.|puesta del sol
akurma|s.(<i>bot</i>)|"cola de caballo (<i>planta medicinal de tallos delgados, verdes y duros que cura las inflamaciones internas y externas</i>)"
akuy|v.intr.|cultivar coca
akuy|v.tr.|poner algo en la boca; comer pito de cualquier cereal; masticar; masticar coca
akwa|s.(<i>l.esp</i>)|aguja
akwa-akwa|s.(<i>bot</i>)|alfilerillo; especie de geraniácea anual endémica de la alta puna
akwa hiringa|v.tr.(<i>med</i>)(<i>esp</i>)|jeringa; aguja de jeringa
ala|s.(<i>esp</i>)|ala de pájaro
Alabadu|s.(<i>esp</i>)|Alabado (<i>cántico religioso introducido por los doctrineros. Se entona al sacar el cadáver de la casa</i>)
alabaduq|s.a.(<i>esp</i>)|rezante; cantante del Alabado
alabaduy|v.tr.(<i>esp</i>)|entonar el Alabado
alabakuq|adj.(<i>esp</i>)|alabancioso
ala khuyay khuyaylla|s.(<i>ant</i>)|pobrecito; desdichado
alalachiy|v.tr.|enfriar; refrescar
alalaq|adj.|frío; helado; frigido; friolento; que siente frío; que hace frío
alalaqrusqa|p.p.p.|enfriado; resfriado
alalasqa|p.p.|frío; enfriado; refrescado
Alalaw!|interj.|¡Qué frío!; [exclamación del que siente frío]
Alalaw!|interj.|¡Qué calor!
alalay|s.|pena
alalay|s.(<i>med</i>)|resfrío; catarro
alalay|v.impers.|hacer frío; estar frío; tener frío; helar; hacer frio; sentir frío; tener frío; hacer frío
alalay|v.tr.|enfriar
Alama|s.(<i>tri</i>)|Quechuas del Pastaza y Tigre; grupo étnico quechuahablante en la región de los ríos Pastaza y Tigre (<i>departamento de Loreto/Perú y Ecuador adyacente</i>)
alamu|s.(<i>bot</i>)(<i>esp</i>)|álamo; planta usada para teñir de amarillo
alapay|v.tr.|liar; rematar; forma particular de pelearse entre mujeres; entretejer
alariy|v.mov.|aparecer
alaski|s.(<i>ana</i>)|intestino; tripa
alasta quy|expr.v.(<i>p.esp</i>)|dar alas; consentir; engreír
alaw!|interj.|"¡qué dolor terrible!; ¡que pena!; [expresión que denota compasión de alguien que da lástima]; pobrecito, qué pena"
alawniy|v.pron.|doler terrible
alaw ñiy|v.dic.|quejarse; gemir
alay|s.|calor
alay|s.|frío
alay|v.impers.|hacer calor
alay|v.impers.|hacer frío
alaymuska|s.|"piedra dura y lisa de color verde o azul, usada en molino y batán"
alayri|adj.(<i>esp</i>)|ágil; que puede caminar solo; bastante aliviado (<i>recuperado</i>) de alguna enfermedad
alayri|expr.adv.(<i>esp</i>)|igual al aire; rápido; pronto
albirga|s.(<i>bot</i>)(<i>esp</i>)|arveja; guisante
alchay|v.tr.(<i>agr</i>)|"arreglar un cultivo; cosechar maíz, habas, cortando el tallo"
algudun|s.(<i>esp</i>)|algodón
alhibra|s.(<i>mat</i>)(<i>esp ← ara</i>)|algebra
alhibrap|adj.poses.(<i>mat</i>)(<i>esp ← ara</i>)|algebráico
ali|s.(<i>bot</i>)|planta
aligri|adj.(<i>esp</i>)|alegre
aligriyay|v.intr.(<i>esp</i>)|estar alegre
aliman|s.(<i>esp</i>)|alemán
alimintu|s.(<i>esp</i>)|alimento
alimiski|s.|rabadilla de las aves
alistakuy|v.(<i>esp</i>)|alistarse
alistay|v.tr.(<i>esp</i>)|alistar; preparar
alkaldi|s.(<i>esp</i>)|alcaldi
alkatakuy|v.intr.|levantar la pollera
alkay|v.tr.|esperar; aguardar; aguardar
alki|s.|surco
alkilay|v.tr.(<i>esp</i>)|alquilar; prestar
alkul|s.(<i>esp</i>)|alcohol
alkuy|v.tr.|amontonar maíz; hacinar
alma|s.(<i>esp</i>)|alma; alma (<i>espíritu</i>); espíritu (<i>fantasma</i>)
almasay|v.(<i>esp</i>)|hacer almácigo
almilla|s.|vestido llevado por la mujer indígena
almusa|s.(<i>esp</i>)|almuerzo
almusay|v.intr.(<i>esp</i>)|almorzar
alpargatis|s.(<i>esp</i>)|alpargatas
alpurha|s.(<i>esp</i>)|alforja
alqa|adj.|blanco y negro; blanquinegro; combinado; alternado; interpolado
alqa|s.|falla; mella; cosa que no deja concluir; obra incompleta
alqa|s.(<i>ana</i>)|blanco del ojo
alqa|s.(<i>geo</i>)|lugar frío; páramo; puna
alqa-alqa|adj.|jaspeado
alqamari|s.(<i>zoo</i>)|chima linda; carancho; especie de pájaro blanquinegro; falcónido de plumaje blanco y negro que vive en las montañas
Alqamayu|s.(<i>top</i>)|río que nace en Machu Pikchu
alqay|v.tr.|descontinuar
alsa|s.|"comida que recibe el tejedor, bailarín, músico o cualquiera que colabora con la fiesta"
alsakay|v.mov.|escapar
alsakuy|s.(<i>esp</i>)|revolución
alsakuy|v.intr.(<i>esp</i>)|alzarse
alsakuy|v.tr.(<i>esp</i>)|"ser complementado; recibir la comida en la fiesta por haber ayudado o ""complementado"" (<i>colaborado</i>) en su realización"
alsay|v.tr.(<i>esp</i>)|alzar
altay|v.tr.|remover; sacar fuera; sacar del fondo de algo que tiene agua
altu|adj.(<i>esp</i>)|alto
altu|s.(<i>esp</i>)|altura; puna; cenit
Altu Mayu|s.(<i>top</i>)(<i>p.esp</i>)|"hermoso y rico valle, ubicado al norte de la región San Martín y que comprende las provincias de Rioja y Moyobamba; (<i>esp.</i>) Alto Mayo"
altumisayuq|s.(<i>spi</i>)|curandero alto; sacerdote andino del tercer nivel; sacerdote andino
altupiña ch'aska|s.(<i>ast</i>)|estrella en el cenit; estrella que ya está alta
altus|s.(<i>esp</i>)|los altos o el segundo piso de la casa; segundo piso
alud|s.(<i>esp</i>)|aluvión; alud
aluhakuy|v.intr.(<i>esp</i>)|alojarse
alukay|v.tr.(<i>esp</i>)|alojar
alumnu|s.(<i>esp</i>)|alumno
alunsillu|s.(<i>bot</i>)(<i>esp</i>)|planta medicinal para la irritación interna
alunsu|s.(<i>bot</i>)(<i>esp</i>)|alonso (<i>planta cuya raíz cura la inflamación y úlcera estomacal sangrienta</i>)
alwa|s.(<i>bot</i>)(<i>l.esp</i>)|"alfalfa; alfalfa - en la medicina popular sirve como antihemorrágico y para la uración de la piel, de los resfríos y de la gripe"
alwiris|s.(<i>esp</i>)|alférez; persona que tiene el cargo de celebrar la fiesta
allá|adv.l.(<i>esp</i>)|allí; allá
allachikuy|v.tr.|hacerse cavar
allachiy|v.tr.|hacer cavar
allachu|s.|azada; azadón
allakuq|s.|"azada (<i>para sacar papa, etc.</i>)"
allakuy|v.intr.|pincharse; cavarse
allallanka|s.(<i>zoo</i>)|lagartija
allampasu|s.(<i>bot</i>)|allampasu; especie de planta medicinal de la selva ecuatoriana
allamuy|v.tr.|ir a cavar
allana|s.(<i>agr</i>)|azada; sitio que puede ser cavado
Allana|s.(<i>ast</i>)|constelación de la Azada andina
allankachiy|v.tr.|poner de espalda a alguien o algo
allankaray|v.intr.|estar tendido de espalda; ociosear
allankay|v.mov.|echarse (<i>tumbarse</i>) de espalda
allapa|adv.m.|mucho; demasiado
allapay|v.tr.|exagerar cualquier acción; empeorar
allapuy|v.tr.|cavárselo
allaq|adv.t.|mañana
allaq|s.a.|el que cava; cavador
allarpachiy!|expr.|¡hazlo cavar!
allarpariy|v.tr.|cavar de una vez
allasqa|p.p.p.|cavado
allatin|adj.|común
allaw!|interj.|¡pobrecito!; [compasión]
allawchi!|interj.|¡pobrecito!; [compasión]
allawka|s.|lado derecho
allawqa|adv.l.|derecho; derecha
allawsu|s.(<i>bot</i>)|mashua; cierta planta tubércula
allay|s.(<i>agr</i>)|cosecha de tubérculos; cosecha de papas
allay|v.tr.(<i>agr</i>)|cavar; excavar; escabar; escarbar; pinchar; remover la tierra para cosechar ubérculos; cavar para sacar papas; cosechar tubérculos
allay killa|s.(<i>mes</i>)|abril; mes de cosecha de tubérculos (<i>abril</i>)
allaysiy|v.tr.|ayudar a cavar
allchay|v.tr.|ordenar; poner en orden
allchhi|s.(<i>aym</i>)|nieto
alli allpa|s.(<i>agr</i>)|tierra fértil
allichakuy|v.intr.|arreglarse; acicalarse; sanarse
allichay|v.tr.|reparar; arreglar; poner en orden; acomodar; adornar; preparar; componer; ecorar; asear la casa; acondicionar; remediar; arreglar; componer; rdenar; orillar
allichiy|v.tr.|corregir; enmendar; mejorar; arreglar
allichu|expr.|por favor
allichu?|expr.|¿está bien?
allikachina wasi (<i>ukhu</i>)|s.|bodega
allikachiy|v.tr.|preferir; gustar; alabar; elogiar
alli kawsayta chariy|v.tr.|asumir un buen modo de vivir
allikayaku|s.|disciplina
alliku|s.|paz; seguridad
allikuta ñiy|v.intr.|tener razón
alli law|adj.(<i>tex</i>)|torcido derecho; bien torcido; derecho
allillachu kanchik?|expr.|¿estamos bien? (<i>¿no más?</i>)
allillachu kanki?|expr.|¿estás bien? (<i>¿no más?</i>)
allillamanta|adj.|lento; despacio; con cuidado; con despacio; sin apuro
Allillanchu?|expr.|¿cómo está usted?; ¿cómo estás?; ¿bien?; ¿estás bien?
Allillanmi!; Allillantaqmi!|expr.|¡Estoy bien!
allilliq|adj.|útil
allin|adj.|bueno; bien; sano; bueno; bien; excelente; despacio; bien; generoso; amable; sano; saludable
allin|adj.|sensato
allin|adj.(<i>med</i>)|bien (<i>de salud</i>); sano
allin|adv.m.|bien; muy bien
allin|pron.impers.|lo mejor
allin-allin|adv.m.|cuidadosamente; con cuidado; despacio
allin allinlla|adv.m.|bien
allinchasqa|p.p.p.|arreglado
allinchay|v.tr.|ordenar; arreglar; componer; adornar; mejorar; reparar; corrigir; componer; arreglar; arreglar; componer; ordenar
allin chayamusqa uyansa|expr.|¡Bienvenida!
allinchiq churay|v.tr.|ordenar
allinchiy|v.tr.|corregir; enmendar; mejorar
Allin ch'isi!|expr.|¡Buenas tardes!; ¡Buenas noches!
allin ch'itikay|s.|vivacidad
allin hampiy ruraykuna|s.(<i>neo</i>)|gestión de la salud pública
Allin hamusqa kapay!|expr.|¡Bienvenido!; ¡Bienvenida!
Allin hamusqa kapaychik!|expr.|¡Bienvenidos!; ¡Bienvenidas!
allin ima|adj.|buena persona; cosa buena
allin kana|s.|bondad
allin kawsay|s.|bienestar; salud
allin kawsay hayñi|s.|derecho a la salud
allin kawsay kawpay|s.|políticas de salud
allin kawsay tarikuq wasi|s.|instituto de seguridad social
allin kay|s.|salud; bienestar
allinlla|adv.m.|bien nomás; bien; con suavidad; con cuidado; despacito; bastante bien; regularmente; bien (<i>no más</i>)
Allinlla Musuq Wata!|expr.|¡Feliz Año Nuevo!
allinllanta|adv.m.|despacio
allinlla ñan|expr.|¡Buen viaje!; ¡Hasta luego!
Allinlla Raymi!|expr.|¡Feliz Navidad!
allinllata ñiy|v.intr.|tener razón
allin maki|s.|mano derecha
allin mama|s.|madrina
allinmanta|adv.m.|despaciosamente; lento; despacio; cuidadosamente
allin maswa|s.(<i>bot</i>)|mashuas cultivadas
allinmi|adj.|suficiente; está bien
allinniyuq|s.p.|adinerado
allin ñawi|adj.|guapo; hermoso
allinpaq hap'iy|v.tr.|aprobar; alabar
allin puriy|v.intr.|conducirse; portarse
Allin p'unchaw!|expr.|Buenos días!; ¡Buenos dias!
allinraq|expr.|todavía bien
allin rikch'ay|v.intr.|conducirse; portarse
allin rikch'ay|v.tr.|paracer bien
allin rikuy|expr.|buena atención; buen cuidado
allin rikuy|v.intr.|conducirse; portarse
allin ruray|s.|beneficio
allin simita chariq|s.a.|bienhablado; que habla cortésmente y sin murmurar
Allin sukha!|expr.|¡Buenas tardes!
allin sunqu|adj.|"bondadoso; piadoso; persona de buen corazón, bondadosa; benévelo"
allin sunqu|s.|conciencia
allin sunquyuq|s.p.|bondadoso
allin supay|s.|ángel bueno
allinta|adv.m.|correctamente
allintaqmi!|expr.|¡muy bien!; ¡de acuerdo!
allinta ruray|v.intr.|beneficiar
allin tayta|s.|padrino
allin tiyay|s.|bienestar
allin tukuy|v.intr.|mejorar(<i>se</i>); poner(<i>se</i>)bien; sanarse; curarse; reformarse; recuperarse; recobrar fuerza; mejorarse
allin tupay|v.intr.|hacerse el bueno para ganarse la gracia
Allin tuta!|expr.|¡Buenas noches!
allin ukhupi kaq|adj.|interior
allin wasa|adj.|buena espalda; de buena suerte
allin wasa tukuy|v.intr.|estar de buena suerte
allin wawa mama|s.(<i>ana</i>)|útero
allin yachay|v.intr.|estar seguro
allinyachiy|v.tr.|sanar a alguien; componer cosa dañada; hacer reconciliar; restaurar
allinyanakapuy|v.recip.|hacer paz; reconciliarse
